age,education,workclass,occupation,marital-status,gender,native-country,hours-per-week,salary
56,HS-grad,Govt,Sales,Divorced,Female,Canada,27,40070
35,HS-grad,Govt,IT,Single,Female,Canada,46,35800
47,HS-grad,Govt,IT,Married,Female,Others,29,40950
37,Masters,Govt,Support,Single,Male,Canada,36,47340
53,Masters,Govt,Sales,Married,Male,Canada,52,60400
30,Masters,Govt,Sales,Married,Male,Others,44,44360
33,Masters,Self-employed,IT,Divorced,Female,Others,57,50950
58,PhD,Govt,Management,Single,Male,India,38,86500
23,Bachelors,Govt,Sales,Divorced,Female,Canada,22,31900
57,HS-grad,Private,Management,Single,Male,Canada,35,49810
44,Masters,Private,Support,Divorced,Female,India,41,52210
51,Masters,Private,Support,Married,Male,USA,49,57230
58,HS-grad,Govt,Support,Married,Male,USA,53,40450
34,Bachelors,Private,Management,Married,Female,Others,34,45260
19,PhD,Private,Support,Divorced,Female,Canada,23,42970
47,Bachelors,Self-employed,IT,Married,Male,India,48,51380
41,PhD,Private,Sales,Single,Male,USA,28,62720
51,PhD,Private,Sales,Married,Male,USA,59,72670
31,HS-grad,Govt,Management,Divorced,Female,USA,36,35820
59,Bachelors,Govt,Management,Single,Female,India,30,61560
58,HS-grad,Govt,Management,Single,Male,Canada,39,50550
23,PhD,Govt,IT,Divorced,Male,Canada,43,51650
31,Bachelors,Self-employed,IT,Single,Male,USA,42,41160
18,Bachelors,Govt,IT,Married,Male,Canada,50,33500
39,Masters,Govt,Management,Single,Male,Others,32,56980
52,Bachelors,Private,Sales,Married,Female,USA,30,48540
43,HS-grad,Self-employed,IT,Divorced,Female,USA,50,40000
51,Masters,Self-employed,Management,Married,Male,Canada,55,67490
39,HS-grad,Private,Management,Married,Female,India,42,40440
18,Bachelors,Private,IT,Divorced,Male,Others,43,33150
33,PhD,Private,Support,Married,Male,India,27,54650
42,Bachelors,Self-employed,Management,Married,Male,Canada,32,50440
22,PhD,Self-employed,IT,Divorced,Male,Canada,29,50050
41,PhD,Govt,IT,Married,Female,Others,59,68650
47,Bachelors,Govt,IT,Divorced,Male,Canada,48,51380
48,HS-grad,Govt,Sales,Divorced,Female,India,43,37350
25,Bachelors,Govt,Support,Single,Female,India,34,32480
18,PhD,Govt,Support,Single,Male,Canada,35,42750
23,Bachelors,Private,Support,Single,Female,USA,33,31350
60,Bachelors,Govt,Support,Single,Male,USA,39,51629
59,HS-grad,Self-employed,Support,Divorced,Male,Canada,41,40270
22,Masters,Self-employed,Sales,Married,Female,India,44,38920
30,Masters,Self-employed,Sales,Single,Male,Others,37,44010
47,Bachelors,Govt,IT,Married,Male,Canada,53,51630
36,HS-grad,Private,Support,Single,Male,Canada,38,30459
53,HS-grad,Self-employed,Support,Single,Female,India,35,37450
44,HS-grad,Self-employed,Sales,Single,Female,Canada,42,35540
30,Masters,Govt,Management,Married,Female,India,33,50010
39,PhD,Self-employed,Management,Single,Male,USA,35,68490
28,HS-grad,Govt,IT,Single,Female,Canada,51,32550
55,PhD,Private,Management,Single,Male,India,30,83280
44,HS-grad,Self-employed,Management,Married,Male,Others,56,43840
18,HS-grad,Govt,Sales,Married,Female,USA,56,24800
56,Masters,Self-employed,Management,Married,Female,Canada,42,70740
50,Bachelors,Govt,IT,Divorced,Male,India,33,52490
63,PhD,Govt,Management,Single,Male,India,42,91400
18,Masters,Private,Management,Single,Female,USA,37,40850
62,Bachelors,Govt,Management,Divorced,Male,Others,41,64090
33,HS-grad,Self-employed,Management,Married,Female,USA,29,36550
25,Bachelors,Private,IT,Single,Female,Canada,50,37840
31,Bachelors,Govt,Management,Divorced,Female,Canada,55,44330
36,Masters,Govt,IT,Single,Female,Others,42,52419
55,Masters,Private,IT,Married,Male,Canada,35,66130
30,PhD,Self-employed,Sales,Divorced,Female,India,31,53630
47,HS-grad,Private,Support,Divorced,Male,India,37,35030
57,Bachelors,Self-employed,Sales,Divorced,Male,Others,53,52490
61,Bachelors,Private,Sales,Single,Male,Others,36,53880
50,Bachelors,Self-employed,Management,Divorced,Male,Canada,52,56720
58,HS-grad,Private,Support,Married,Male,India,60,40800
41,Masters,Govt,Sales,Single,Female,Others,43,51790
47,Masters,Govt,Sales,Divorced,Female,Others,33,55370
33,HS-grad,Self-employed,Support,Single,Female,Canada,55,30050
60,PhD,Self-employed,IT,Single,Male,USA,56,85600
37,PhD,Govt,IT,Married,Female,India,41,64149
61,HS-grad,Govt,IT,Divorced,Male,USA,23,47650
46,PhD,Private,Sales,Single,Male,Others,49,67970
26,Bachelors,Self-employed,IT,Married,Male,Canada,28,37360
31,PhD,Self-employed,Sales,Divorced,Female,Others,37,54770
23,Masters,Govt,Sales,Married,Male,India,58,40300
34,HS-grad,Private,IT,Married,Female,USA,44,35200
32,Bachelors,Private,Support,Married,Male,Others,38,36460
28,HS-grad,Govt,Sales,Divorced,Male,India,24,27600
23,Masters,Govt,Support,Divorced,Female,Canada,52,38900
46,PhD,Private,Support,Single,Female,India,47,66310
45,PhD,Private,Management,Married,Male,Canada,47,74730
44,HS-grad,Govt,Support,Married,Female,India,44,34120
44,Masters,Govt,IT,Married,Female,Others,39,58190
36,Masters,Govt,Sales,Married,Female,USA,55,48989
21,PhD,Private,Support,Divorced,Male,USA,57,46310
34,PhD,Private,Sales,Single,Male,USA,35,57190
21,Masters,Self-employed,IT,Single,Female,Others,30,40720
62,Bachelors,Govt,Support,Single,Female,India,23,51910
46,Bachelors,Self-employed,Sales,Married,Male,Canada,51,46230
63,Bachelors,Private,Management,Married,Female,Others,43,64850
23,Bachelors,Self-employed,Support,Married,Male,USA,47,32050
56,Bachelors,Self-employed,Support,Married,Male,Canada,28,48920
65,Bachelors,Private,Support,Single,Female,Others,26,53680
53,HS-grad,Private,Sales,Married,Male,Canada,59,40350
46,Bachelors,Govt,Support,Single,Male,Canada,54,44820
44,PhD,Self-employed,Sales,Divorced,Male,India,45,66090
42,Bachelors,Private,Sales,Divorced,Male,USA,20,42440
41,PhD,Govt,Support,Divorced,Male,Canada,24,61060
65,Masters,Self-employed,Management,Married,Male,India,30,77160
48,PhD,Self-employed,Sales,Married,Male,India,44,69400
43,Bachelors,Self-employed,IT,Divorced,Male,USA,34,48200
57,HS-grad,Private,Support,Single,Female,USA,31,38930
56,PhD,Private,Support,Married,Female,India,55,74910
22,Masters,Private,IT,Single,Female,USA,37,41810
56,PhD,Self-employed,IT,Single,Female,Canada,45,81450
57,PhD,Private,Sales,Married,Female,Canada,31,76310
29,HS-grad,Govt,Support,Single,Female,USA,26,26920
54,HS-grad,Self-employed,IT,Divorced,Male,India,49,45450
42,PhD,Govt,Sales,Single,Female,Canada,48,64560
43,Masters,Govt,IT,Single,Female,USA,31,57050
56,Masters,Govt,Management,Married,Female,Others,37,70490
61,Masters,Self-employed,IT,Married,Female,Canada,45,71070
54,PhD,Govt,IT,Married,Male,India,43,79550
24,PhD,Self-employed,Management,Single,Female,Canada,35,54390
52,Masters,Self-employed,Management,Single,Male,Canada,32,67120
64,HS-grad,Govt,IT,Single,Male,India,53,50650
49,Masters,Govt,IT,Single,Male,India,44,62140
55,PhD,Govt,Management,Married,Male,Canada,24,82980
53,Bachelors,Govt,Management,Married,Male,Canada,54,58800
24,Masters,Govt,Sales,Divorced,Female,Others,41,40130
29,Bachelors,Govt,Management,Single,Male,Others,35,42010
27,Bachelors,Govt,Management,Divorced,Female,Others,60,41940
50,Bachelors,Govt,Sales,Married,Female,India,27,47270
60,PhD,Self-employed,IT,Divorced,Male,USA,20,83800
39,Masters,Private,Management,Married,Male,Canada,59,58330
18,HS-grad,Govt,IT,Married,Female,Others,30,26500
57,HS-grad,Private,IT,Single,Female,India,27,45850
49,HS-grad,Govt,Sales,Divorced,Male,India,53,38290
25,Bachelors,Self-employed,Management,Married,Female,Canada,45,39870
52,PhD,Private,Management,Single,Male,USA,42,81060
32,Bachelors,Self-employed,IT,Divorced,Male,Others,43,41830
38,Bachelors,Self-employed,Sales,Single,Male,USA,27,40550
63,Bachelors,Self-employed,Management,Married,Male,India,30,64200
62,PhD,Govt,Sales,Married,Female,India,29,80410
57,PhD,Govt,Sales,Single,Female,India,58,77660
41,PhD,Self-employed,Sales,Single,Male,USA,43,63470
20,PhD,Private,Support,Single,Male,Others,47,44990
25,HS-grad,Govt,IT,Single,Female,Canada,59,31450
21,PhD,Private,Support,Divorced,Female,India,28,44860
31,Bachelors,Private,Management,Divorced,Female,India,27,42930
65,Masters,Govt,IT,Married,Male,Others,51,74330
49,Masters,Govt,Management,Married,Male,India,20,64180
25,PhD,Self-employed,Management,Married,Female,Others,26,54880
39,PhD,Govt,Sales,Divorced,Male,USA,44,61840
64,Masters,Govt,Sales,Divorced,Female,USA,37,67130
60,PhD,Self-employed,Management,Single,Male,Others,60,89480
65,Masters,Private,Sales,Married,Female,Canada,55,68710
36,Masters,Self-employed,IT,Married,Male,Canada,49,52769
48,Bachelors,Self-employed,Management,Married,Female,India,30,54300
24,Bachelors,Self-employed,IT,Single,Female,India,59,37670
59,HS-grad,Private,Support,Married,Male,India,21,39270
40,PhD,Self-employed,Management,Divorced,Male,Others,58,70580
63,HS-grad,Govt,IT,Divorced,Male,India,21,48550
26,HS-grad,Govt,IT,Divorced,Female,USA,46,31299
45,Bachelors,Govt,Management,Married,Female,Canada,52,53420
52,Masters,Private,IT,Divorced,Female,Others,55,64910
49,Masters,Self-employed,IT,Divorced,Female,Canada,28,61340
51,HS-grad,Self-employed,IT,Single,Female,India,50,44000
41,Masters,Self-employed,IT,Married,Male,Others,47,56370
46,Bachelors,Self-employed,Support,Divorced,Female,USA,37,43970
18,HS-grad,Private,Sales,Divorced,Male,India,46,24300
22,PhD,Self-employed,IT,Divorced,Male,India,33,50250
55,PhD,Govt,Sales,Divorced,Female,Canada,31,74630
49,Masters,Private,IT,Single,Male,Others,51,62490
59,Bachelors,Private,Management,Single,Female,Others,35,61810
25,HS-grad,Govt,Management,Married,Female,USA,37,32630
45,PhD,Self-employed,Management,Married,Male,USA,48,74780
26,PhD,Govt,IT,Married,Female,USA,45,54450
57,HS-grad,Govt,Sales,Divorced,Female,Others,35,40910
26,HS-grad,Govt,Support,Divorced,Female,Canada,33,26010
63,Bachelors,Private,IT,Single,Female,Others,51,61450
37,PhD,Self-employed,Support,Divorced,Female,Others,30,58079
40,Masters,Self-employed,IT,Divorced,Male,Others,26,54580
60,Bachelors,Govt,Sales,Divorced,Male,Canada,59,54469
29,HS-grad,Self-employed,Management,Married,Male,Canada,20,33940
30,Bachelors,Self-employed,IT,Divorced,Female,Others,39,40390
31,PhD,Self-employed,Sales,Single,Female,India,26,54220
24,Masters,Self-employed,Management,Single,Male,Others,37,45530
61,HS-grad,Govt,Management,Single,Male,Canada,60,53220
63,PhD,Govt,Sales,Divorced,Female,USA,24,81000
32,PhD,Self-employed,Sales,Single,Female,USA,31,55310
28,Bachelors,Govt,IT,Married,Male,India,44,39400
27,Masters,Govt,Support,Married,Female,Others,52,41540
35,HS-grad,Private,Support,Single,Female,Canada,51,30690
53,PhD,Govt,Management,Divorced,Male,Canada,50,82400
36,Masters,Govt,Sales,Married,Female,Others,31,47789
36,PhD,Private,Support,Married,Female,India,22,56859
21,PhD,Private,Sales,Divorced,Female,USA,25,45770
42,PhD,Self-employed,Support,Married,Female,Others,38,62580
43,HS-grad,Self-employed,Management,Married,Male,Others,41,42550
34,PhD,Private,Management,Married,Male,India,43,64190
29,PhD,Govt,Management,Married,Female,Canada,35,59090
24,Masters,Private,Management,Divorced,Female,Canada,51,46230
25,Masters,Self-employed,Management,Divorced,Female,Others,31,46010
54,PhD,Self-employed,IT,Divorced,Female,India,34,79100
36,Masters,Self-employed,IT,Married,Female,Canada,27,51669
32,HS-grad,Self-employed,Management,Married,Female,Canada,47,36910
31,HS-grad,Self-employed,Support,Married,Female,Others,58,29360
62,HS-grad,Govt,Management,Divorced,Male,USA,57,53610
50,Bachelors,Govt,Management,Divorced,Female,India,39,56070
31,Bachelors,Private,Management,Single,Female,Canada,55,44330
40,Masters,Govt,IT,Divorced,Female,Canada,56,56080
36,HS-grad,Private,Sales,Divorced,Male,India,40,31919
22,HS-grad,Private,IT,Divorced,Male,India,31,28550
29,Bachelors,Private,Support,Married,Male,India,45,35190
31,Masters,Self-employed,IT,Single,Female,Others,55,49370
18,PhD,Self-employed,IT,Single,Male,Canada,21,46050
48,Masters,Govt,Management,Divorced,Male,India,40,64400
55,Masters,Self-employed,IT,Single,Male,Canada,47,66730
57,PhD,Self-employed,IT,Single,Female,Canada,41,82150
30,HS-grad,Private,Sales,Married,Female,Canada,36,29080
48,Masters,Self-employed,Sales,Married,Female,USA,29,55850
61,Bachelors,Private,Management,Divorced,Female,USA,45,63629
30,HS-grad,Self-employed,Support,Married,Male,USA,38,27940
40,PhD,Self-employed,IT,Single,Female,Canada,43,66950
60,Bachelors,Govt,Management,Divorced,Male,USA,54,63419
62,Masters,Govt,Sales,Married,Male,India,31,65470
49,Masters,Private,Support,Married,Female,Canada,48,55860
37,HS-grad,Self-employed,Support,Married,Male,India,49,31429
26,HS-grad,Govt,Management,Single,Female,Others,24,32519
20,Bachelors,Self-employed,Support,Married,Female,India,54,30780
63,PhD,Self-employed,Support,Single,Male,India,42,80000
41,HS-grad,Govt,Management,Married,Male,Others,48,41820
44,PhD,Private,Support,Single,Female,India,31,63870
63,HS-grad,Private,Sales,Divorced,Female,Others,34,43500
34,Bachelors,Govt,Management,Married,Female,Canada,25,44810
18,Bachelors,Self-employed,Management,Single,Female,Canada,54,35700
57,Bachelors,Govt,Sales,Single,Male,India,49,52290
49,Bachelors,Self-employed,IT,Divorced,Male,India,56,53020
42,HS-grad,Private,Support,Divorced,Male,Canada,25,32330
34,Masters,Self-employed,Sales,Single,Male,India,35,46630
29,Bachelors,Govt,Management,Single,Female,Canada,27,41610
46,PhD,Govt,Support,Married,Male,India,46,66260
47,Masters,Self-employed,Management,Single,Female,Canada,50,64120
21,PhD,Private,Management,Divorced,Female,India,33,51470
24,HS-grad,Private,Management,Divorced,Male,USA,32,31840
51,Bachelors,Private,IT,Married,Male,USA,36,53260
58,Masters,Private,Management,Single,Male,Canada,52,72800
52,PhD,Govt,Support,Divorced,Female,India,35,70630
63,HS-grad,Self-employed,IT,Divorced,Female,USA,23,48650
63,PhD,Private,Sales,Married,Female,Others,58,82700
25,Bachelors,Govt,Support,Single,Male,Canada,53,33430
53,HS-grad,Self-employed,Sales,Single,Male,USA,35,39150
62,HS-grad,Govt,IT,Single,Female,India,40,49000
57,PhD,Govt,IT,Married,Male,Canada,42,82200
54,HS-grad,Self-employed,Management,Married,Female,Others,56,49240
27,HS-grad,Self-employed,Sales,Single,Female,Canada,47,28310
34,Bachelors,Govt,Management,Divorced,Male,Others,29,45010
20,Masters,Self-employed,IT,Divorced,Male,Canada,34,40180
24,Bachelors,Govt,Sales,Single,Female,India,48,33760
33,Masters,Private,Sales,Divorced,Male,India,54,46900
54,Masters,Govt,Sales,Married,Female,USA,46,60780
53,PhD,Private,IT,Divorced,Female,India,30,78000
41,Bachelors,Govt,Support,Single,Male,India,23,40570
49,HS-grad,Govt,Support,Single,Male,Canada,41,36070
57,HS-grad,Private,Support,Married,Male,USA,26,38680
62,HS-grad,Private,Support,Single,Male,Canada,31,41030
27,HS-grad,Private,Support,Married,Female,USA,46,27080
24,Bachelors,Private,Sales,Married,Female,India,54,34060
35,Masters,Self-employed,Sales,Single,Male,Others,51,48110
